title,url,published_date,author,tags,excerpt,scraped_at,drop_reason
"SQL Certification Course, SQL Associate Certificate | DataCamp",https://www.datacamp.com/blog/sql-certification,,,,Earn a SQL Associate certification and prove your skills. Hands-on assessment with real-world scenarios. Recognised by employers — prep courses included.,2026-08-16,missing published_date (certification page)
Power BI Data Analyst Certification | DataCamp,https://www.datacamp.com/blog/power-bi-certification,,,,"Demonstrate that you can use Power BI to analyze and visualize data. DataCamp will help you to build the key skills you need to earn the certification. Through DataCamp’s partnership with Microsoft, you will also get 50% off the exam fee!",2026-08-16,missing published_date (certification page)
GitHub Foundations Certification | DataCamp,https://www.datacamp.com/blog/GitHub-certifications,,,,"Kickstart your GitHub journey and master essential skills through DataCamp’s expertly designed track, covering key topics like version control, repository management, collaboration workflows, and core Git operations.",2026-08-16,missing published_date (certification page)
"GPT-5.4 mini and nano: Benchmarks, Access, and Reactions",https://www.datacamp.com/blog/gpt-5-4-mini-nano,2026-03-18,,AI News|OpenAI|Artificial Intelligence|Large Language Models,,2026-08-16,empty excerpt
DataCamp Co-Sponsors the $40K Data4Good Case Competition!,https://www.datacamp.com/blog/data-camp-co-sponsors-the-40-k-data4-good-case-competition,2024-09-10,,DataCamp Classrooms|Data Literacy,,2026-08-16,empty excerpt
We’re Making DataCamp Free For ALL High School Teachers and Their Students,https://www.datacamp.com/blog/were-making-datacamp-free-for-all-high-school-teachers-and-their-students,2021-06-25,Nathaniel Taylor-Leach,DataCamp Donates|Data Literacy,,2026-08-16,empty excerpt
DataCamp 2.0,https://www.datacamp.com/blog/datacamp-20,2020-12-10,Jonathan Cornelissen,Life at DataCamp,,2026-08-16,empty excerpt
DataCamp + Black Girls Code: Being a Woman in STEM,https://www.datacamp.com/blog/datacamp--black-girls-code-being-a-woman-in-stem,2020-10-21,Nathaniel Taylor-Leach,DataCamp Donates,,2026-08-16,empty excerpt
Rstudio - Pending Legal Matter,https://www.datacamp.com/blog/rstudio-pending-legal-matter,2020-07-01,Martijn Theuwissen,Life at DataCamp,,2026-08-16,empty excerpt
Martijn Theuwissen Officially Steps Into CEO Role,https://www.datacamp.com/blog/martijn-theuwissen-officially-steps-into-ceo-role,2019-11-18,Martijn Theuwissen,Life at DataCamp,,2026-08-16,empty excerpt
"Working IDEAL’s Independent, Third-Party Review of DataCamp",https://www.datacamp.com/blog/working-ideals-independent-third-party-review-of-datacamp,2019-10-16,Martijn Theuwissen,Life at DataCamp,,2026-08-16,empty excerpt
Announcing Members of the New DataCamp Instructor Advisory Board,https://www.datacamp.com/blog/announcing-members-of-the-new-datacamp-instructor-advisory-board,2019-07-16,Martijn Theuwissen,Life at DataCamp,,2026-08-16,empty excerpt
An Update On Our Progress,https://www.datacamp.com/blog/an-update-on-our-progress,2019-05-28,Martijn Theuwissen,Life at DataCamp,,2026-08-16,empty excerpt
I am deeply sorry,https://www.datacamp.com/blog/i-am-deeply-sorry,2019-04-24,Jonathan Cornelissen,Life at DataCamp,,2026-08-16,empty excerpt
An Important Update from the DataCamp Board of Directors,https://www.datacamp.com/blog/an-important-update-from-the-datacamp-board-of-directors,2019-04-24,DataCamp Board of Directors,Life at DataCamp,,2026-08-16,empty excerpt
A note to our community,https://www.datacamp.com/blog/a-note-to-our-community,2019-04-04,DataCamp Team,Life at DataCamp,,2026-08-16,empty excerpt
Important DataCamp Security Update,https://www.datacamp.com/blog/important-datacamp-security-update,2019-02-13,DataCamp Team,Life at DataCamp,,2026-08-16,empty excerpt
